Author,Text
"
    Charles Bukowski,
  ","
      “If you're going to try, go all the way. Otherwise, don't even start. This could mean losing girlfriends, wives, relatives and maybe even your mind. It could mean not eating for three or four days. It could mean freezing on a park bench. It could mean jail. It could mean derision. It could mean mockery--isolation. Isolation is the gift. All the others are a test of your endurance, of how much you really want to do it. And, you'll do it, despite rejection and the worst odds. And it will be better than anything else you can imagine. If you're going to try, go all the way. There is no other feeling like that. You will be alone with the gods, and the nights will flame with fire. You will ride life straight to perfect laughter. It's the only good fight there is.”
  "
"
    Maya Angelou
  ","
      “Courage is the most important of all the virtues because without courage, you can't practice any other virtue consistently.”
  "
"
    William Faulkner
  ","
      “Read, read, read. Read everything -- trash, classics, good and bad, and see how they do it. Just like a carpenter who works as an apprentice and studies the master. Read! You'll absorb it."
"
    Rumi
  ","
      “The wound is the place where the Light enters you.”
  "
"
    Khaled Hosseini,
  ","
      “For you, a thousand times over”
  "
"
    Isaac Asimov,
  ","
      “Never let your sense of morals prevent you from doing what is right.”
  "
"
    George R.R. Martin,
  ","
      “Bran thought about it. 'Can a man still be brave if he's afraid?'"
"
    Albert Einstein
  ","
      “A human being is a part of the whole called by us universe, a part limited in time and space. He experiences himself, his thoughts and feeling as something separated from the rest, a kind of optical delusion of his consciousness. This delusion is a kind of prison for us, restricting us to our personal desires and to affection for a few persons nearest to us. Our task must be to free ourselves from this prison by widening our circle of compassion to embrace all living creatures and the whole of nature in its beauty.”
  "
"
    Oscar Wilde
  ","
      “Everything in the world is about sex except sex. Sex is about power.”
  "
"
    Stephen Chbosky,
  ","
      “Once on a yellow piece of paper with green lines"
"
    Marie Lu,
  ","
      “Each day means a new twenty-four hours. Each day means everything's possible again. You live in the moment, you die in the moment, you take it all one day at a time.”
  "
"
    Katie McGarry,
  ","
      “I don't go looking for trouble. Trouble usually finds me.”
  "
"
    Woody Allen
  ","
      “I don't know the question, but sex is definitely the answer.”
  "
"
    maya angelou
  ","
      “I love to see a young girl go out and grab the world by the lapels. Life's a bitch. You've got to go out and kick ass.”
  "
"
    Jane Austen,
  ","
      “There are few people whom I really love, and still fewer of whom I think well. The more I see of the world, the more am I dissatisfied with it; and every day confirms my belief of the inconsistency of all human characters, and of the little dependence that can be placed on the appearance of merit or sense.”
  "
"
    James Baldwin
  ","
      “You think your pain and your heartbreak are unprecedented in the history of the world, but then you read. It was books that taught me that the things that tormented me most were the very things that connected me with all the people who were alive, who had ever been alive.”
  "
"
    Mark Twain
  ","
      “Never allow someone to be your priority while allowing yourself to be their option.”
  "
"
    Mark Twain
  ","
      “I was gratified to be able to answer promptly, and I did. I said I didn’t know.”
  "
"
    William Shakespeare,
  ","
      “Hell is empty and all the devils are here.”
  "
"
    Jane Smiley,
  ","
      “Many people, myself among them, feel better at the mere sight of a book.”
  "
"
    Albert Einstein
  ","
      “Try not to become a man of success. Rather become a man of value.”
  "
"
    Eleanor Roosevelt,
  ","
      “You gain strength, courage and confidence by every experience in which you really stop to look fear in the face. You are able to say to yourself, 'I have lived through this horror. I can take the next thing that comes along.' You must do the thing you think you cannot do.”
  "
"
    Jonathan Safran Foer
  ","
      “You cannot protect yourself from sadness without protecting yourself from happiness.”
  "
"
    Robert Frost
  ","
      “No tears in the writer, no tears in the reader. No surprise in the writer, no surprise in the reader.”
  "
"
    Neil Gaiman
  ","
      “Life is a disease: sexually transmitted, and invariably fatal.”
  "
"
    Arthur Conan Doyle,
  ","
      “When you have eliminated all which is impossible, then whatever remains, however improbable, must be the truth.”
  "
"
    Jamie McGuire,
  ","
      “To douchebags!"" he said, gesturing to Brad. ""And to girls that break your heart,"" he bowed his head to me. His eyes lost focus. ""And to the absolute fucking horror of losing your best friend because you were stupid enough to fall in love with her.”
  "
"
    Sarah Dessen,
  ","
      “There comes a time when the world gets quiet and the only thing left is your own heart. So you'd better learn the sound of it. Otherwise you'll never understand what it's saying.”
  "
"
    Dr. Seuss
  ","
      “Fantasy is a necessary ingredient in living, it's a way of looking at life through the wrong end of a telescope.”
  "
"
    Dr. Seuss
  ","
      “Why fit in when you were born to stand out?”
  "
"
    Oscar Wilde,
  ","
      “The very essence of romance is uncertainty.”
  "
"
    Nora Ephron
  ","
      “Above all, be the heroine of your life, not the victim.”
  "
"
    Oscar Wilde
  ","
      “Man is least himself when he talks in his own person. Give him a mask, and he will tell you the truth.”
  "
"
    Winston S. Churchill
  ","
      “Men occasionally stumble over the truth, but most of them pick themselves up and hurry off as if nothing ever happened.”
  "
"
    Daphne du Maurier 
  ","
      “But luxury has never appealed to me, I like simple things, books, being alone, or with somebody who understands.”
  "
"
    Oprah Winfrey
  ","
      “Turn your wounds into wisdom.”
  "
"
    Daphne Rae,
  ","
      “I have found the paradox, that if you love until it hurts, there can be no more hurt, only more love.”
  "
"
    Lemony Snicket,
  ","
      “Everyone should be able to do one card trick, tell two jokes, and recite three poems, in case they are ever trapped in an elevator.”
  "
"
    David Sedaris,
  ","
      “If you're looking for sympathy you'll find it between shit and syphilis in the dictionary.”
  "
"
    John Steinbeck,
  ","
      “I wonder how many people I've looked at all my life and never seen.”
  "
"
    Cassandra Clare,
  ","
      “That does it,"" said Jace. ""I'm going to get you a dictionary for Christmas this year."""
"
    John Green,
  ","
      “They love their hair because they're not smart enough to love something more interesting.”
  "
"
    Suzanne Collins,
  ","
      “You're still trying to protect me. Real or not real,"" he whispers."
"
    Friedrich Nietzsche
  ","
      “There is always some madness in love. But there is also always some reason in madness.”
  "
